phase,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_pr_auc,learning_rate,minimum_learning_rate,seconds,lr_classifier,next_lr_classifier,checkpoint_saved,checkpoint_monitor,checkpoint_monitor_value,lr_backbone,next_lr_backbone,global_epoch,selected_final_checkpoint
phase_1,1,0.03905024379491806,0.9562162756919861,0.019902266561985016,0.9765946502057613,0.5,0.0,0.0,0.0,0.48440007117268485,0.0001,0.0001,99.10287761688232,0.0001,0.0001,True,pr_auc,0.48440007117268485,,,1,False
phase_1,2,0.023599185049533844,0.9629608988761902,0.016169877722859383,0.9809670781893004,0.5987694159935403,0.9473684210526315,0.1978021978021978,0.32727272727272727,0.6372883361230841,0.0001,0.0001,99.52118945121765,0.0001,0.0001,True,pr_auc,0.6372883361230841,,,2,False
phase_1,3,0.019119014963507652,0.9703799486160278,0.013978851959109306,0.9840534979423868,0.6700663045145532,0.9393939393939394,0.34065934065934067,0.5,0.7161027760574539,0.0001,0.0001,99.56456542015076,0.0001,0.0001,True,pr_auc,0.7161027760574539,,,3,False
phase_2,1,0.012367301620543003,0.9818457961082458,0.007827273570001125,0.9912551440329218,0.8775406842301758,0.8518518518518519,0.7582417582417582,0.8023255813953488,0.8711742939805228,0.0001,1e-05,141.3266830444336,0.0001,0.0001,True,pr_auc,0.8711742939805228,1e-05,1e-05,4,False
phase_2,2,0.007666267454624176,0.9900517463684082,0.007238899823278189,0.9912551440329218,0.8507265712954415,0.9014084507042254,0.7032967032967034,0.7901234567901234,0.8811977267082577,0.0001,1e-05,141.15874862670898,0.0001,0.0001,True,pr_auc,0.8811977267082577,1e-05,1e-05,5,False
phase_2,3,0.006056931335479021,0.991962730884552,0.006411236710846424,0.992798353909465,0.8890564268494213,0.8987341772151899,0.7802197802197802,0.8352941176470589,0.8991968662642265,0.0001,1e-05,140.96565437316895,0.0001,0.0001,True,pr_auc,0.8991968662642265,1e-05,1e-05,6,False
phase_2,4,0.00437927758321166,0.9937612414360046,0.006244224030524492,0.992798353909465,0.8997820720233152,0.8795180722891566,0.8021978021978022,0.8390804597701149,0.9055215434147004,0.0001,1e-05,140.8869047164917,0.0001,0.0001,True,pr_auc,0.9055215434147004,1e-05,1e-05,7,False
phase_2,5,0.003746452508494258,0.9956722259521484,0.00601978087797761,0.9930555555555556,0.9052765775178206,0.8809523809523809,0.8131868131868132,0.8457142857142858,0.9133758387598809,0.0001,1e-05,140.82308268547058,0.0001,0.0001,True,pr_auc,0.9133758387598809,1e-05,1e-05,8,False
phase_2,6,0.0031325824093073606,0.9960656762123108,0.006513156928122044,0.9930555555555556,0.8999137549308738,0.8902439024390244,0.8021978021978022,0.8439306358381503,0.908520361262726,0.0001,1e-05,140.60998058319092,0.0001,0.0001,False,pr_auc,0.908520361262726,1e-05,1e-05,9,False
phase_2,7,0.0024836338125169277,0.9966839551925659,0.006431635934859514,0.9930555555555556,0.8945509323439268,0.9,0.7912087912087912,0.8421052631578947,0.9188215135318557,0.0001,1e-05,140.51675271987915,0.0001,5e-05,True,pr_auc,0.9188215135318557,1e-05,5e-06,10,True
phase_2,8,0.0018107439391314983,0.9978642463684082,0.006569576449692249,0.9935699588477366,0.9055399433329379,0.9024390243902439,0.8131868131868132,0.8554913294797688,0.9178054719061062,5e-05,5e-06,140.48538494110107,5e-05,5e-05,False,pr_auc,0.9178054719061062,5e-06,5e-06,11,False
phase_2,9,0.0017682922771200538,0.9977518320083618,0.007292314898222685,0.992798353909465,0.8783307816755275,0.92,0.7582417582417582,0.8313253012048193,0.9186271629387367,5e-05,5e-06,140.37703824043274,5e-05,2.5e-05,False,pr_auc,0.9186271629387367,5e-06,2.5e-06,12,False
phase_2,10,0.0016703552100807428,0.998313844203949,0.006925418507307768,0.9933127572016461,0.8946826152514854,0.9113924050632911,0.7912087912087912,0.8470588235294118,0.9186185664504816,2.5e-05,2.5e-06,140.2506444454193,2.5e-05,2.5e-05,False,pr_auc,0.9186185664504816,2.5e-06,2.5e-06,13,False
