grid_id,has_degradation,observation_count,spatial_split
grid_344960_9457280,1,12,train
grid_346240_9456000,0,4,train
grid_346240_9457280,1,13,train
grid_346240_9458560,0,17,val
grid_346240_9459840,1,10,train
grid_347520_9456000,0,24,train
grid_347520_9457280,0,11,train
grid_347520_9458560,0,10,test
grid_347520_9459840,0,10,train
grid_347520_9461120,1,6,val
grid_348800_9456000,0,14,train
grid_348800_9457280,0,15,train
grid_348800_9458560,1,5,train
grid_348800_9459840,1,10,test
grid_348800_9461120,0,10,val
grid_348800_9462400,1,3,train
grid_350080_9456000,0,24,train
grid_350080_9457280,1,14,train
grid_350080_9458560,1,12,val
grid_350080_9459840,0,8,train
grid_350080_9461120,0,19,train
grid_350080_9462400,1,9,val
grid_351360_9458560,0,15,train
grid_351360_9459840,1,7,train
grid_351360_9461120,0,15,val
grid_351360_9462400,0,12,test
grid_351360_9463680,1,3,test
grid_352640_9459840,1,6,train
grid_352640_9461120,1,9,test
grid_352640_9462400,1,6,train
grid_352640_9463680,1,3,train
grid_352640_9464960,1,10,val
grid_353920_9459840,1,8,train
grid_353920_9461120,1,3,train
grid_353920_9462400,1,5,train
grid_353920_9463680,1,5,train
grid_353920_9464960,0,19,train
grid_355200_9459840,1,9,val
grid_355200_9461120,1,5,train
grid_355200_9462400,1,9,val
grid_355200_9463680,1,5,test
grid_355200_9464960,1,16,train
grid_355200_9466240,1,13,val
grid_356480_9458560,1,9,train
grid_356480_9459840,1,5,val
grid_356480_9461120,1,15,train
grid_356480_9462400,1,3,test
grid_356480_9463680,1,5,train
grid_356480_9464960,1,14,train
grid_356480_9466240,1,3,val
grid_357760_9459840,1,6,train
grid_357760_9461120,0,8,test
grid_357760_9462400,1,9,train
grid_357760_9463680,1,8,val
grid_357760_9464960,0,15,test
grid_357760_9466240,1,7,train
grid_357760_9467520,1,3,train
grid_357760_9468800,0,10,train
grid_359040_9458560,0,18,test
grid_359040_9459840,0,17,val
grid_359040_9461120,0,18,val
grid_359040_9462400,0,15,train
grid_359040_9463680,0,13,train
grid_359040_9464960,0,16,train
grid_359040_9466240,1,9,val
grid_359040_9467520,0,10,train
grid_359040_9468800,0,12,test
grid_360320_9458560,0,20,train
grid_360320_9459840,0,17,train
grid_360320_9461120,0,15,train
grid_360320_9462400,0,20,train
grid_360320_9463680,0,15,train
grid_360320_9464960,0,15,test
grid_360320_9466240,1,8,val
grid_360320_9467520,1,8,val
grid_360320_9468800,0,16,train
grid_360320_9470080,0,21,val
grid_361600_9456000,0,23,val
grid_361600_9457280,0,22,test
grid_361600_9458560,0,22,val
grid_361600_9459840,0,18,val
grid_361600_9461120,0,14,train
grid_361600_9462400,0,14,test
grid_361600_9463680,0,19,train
grid_361600_9464960,0,16,train
grid_361600_9466240,0,14,train
grid_361600_9467520,0,14,train
grid_361600_9468800,0,14,test
grid_361600_9470080,0,15,train
grid_362880_9457280,0,22,train
grid_362880_9458560,0,20,test
grid_362880_9459840,0,21,train
grid_362880_9461120,0,17,test
grid_362880_9462400,0,15,train
grid_362880_9463680,0,14,val
grid_362880_9464960,0,17,test
grid_362880_9466240,0,15,train
grid_362880_9467520,0,13,train
grid_364160_9457280,0,21,train
grid_364160_9458560,0,22,train
grid_364160_9459840,0,21,train
grid_364160_9461120,0,21,train
grid_364160_9462400,0,17,train
grid_364160_9463680,0,16,train
grid_364160_9464960,0,16,train
grid_364160_9466240,0,17,train
grid_364160_9467520,0,16,test
grid_364160_9468800,0,9,train
grid_365440_9457280,0,21,train
grid_365440_9458560,0,19,train
grid_365440_9459840,0,21,train
grid_365440_9461120,0,21,train
grid_365440_9462400,0,20,train
grid_365440_9463680,0,18,train
grid_365440_9464960,0,19,train
grid_365440_9466240,0,19,train
grid_365440_9467520,0,18,train
grid_365440_9468800,0,13,train
grid_366720_9456000,0,19,train
grid_366720_9457280,0,19,train
grid_366720_9458560,0,19,train
grid_366720_9459840,0,18,train
grid_366720_9461120,0,22,train
grid_366720_9462400,0,18,train
grid_366720_9463680,0,11,train
grid_366720_9464960,0,14,train
grid_366720_9466240,0,18,train
grid_366720_9467520,0,22,train
grid_366720_9468800,0,16,train
grid_368000_9456000,0,18,val
grid_368000_9457280,0,19,train
grid_368000_9458560,0,22,train
grid_368000_9459840,0,19,train
grid_368000_9461120,0,17,test
grid_368000_9462400,0,12,train
grid_368000_9463680,0,12,train
grid_368000_9464960,0,13,train
grid_368000_9466240,0,19,test
grid_368000_9467520,0,14,train
grid_368000_9468800,0,15,train
grid_369280_9449600,0,16,test
grid_369280_9450880,0,15,train
grid_369280_9452160,0,17,train
grid_369280_9453440,0,19,train
grid_369280_9454720,0,16,test
grid_369280_9458560,0,19,val
grid_369280_9459840,0,22,train
grid_369280_9461120,0,18,train
grid_369280_9462400,0,12,train
grid_369280_9463680,0,12,train
grid_369280_9464960,0,9,train
grid_369280_9466240,0,9,train
grid_370560_9447040,0,12,train
grid_370560_9448320,0,9,train
grid_370560_9449600,0,9,val
grid_370560_9450880,0,14,train
grid_370560_9452160,0,20,train
grid_370560_9453440,0,19,val
grid_370560_9454720,0,17,train
grid_370560_9458560,0,17,train
grid_370560_9459840,0,21,train
grid_370560_9461120,0,21,train
grid_370560_9462400,0,18,train
grid_370560_9463680,0,16,test
grid_370560_9464960,0,19,test
grid_371840_9447040,0,16,train
grid_371840_9448320,0,10,test
grid_371840_9449600,0,6,train
grid_371840_9450880,0,10,train
grid_371840_9452160,0,12,val
grid_371840_9453440,0,12,train
grid_371840_9459840,0,20,train
grid_371840_9461120,0,18,test
grid_371840_9462400,0,16,train
grid_371840_9463680,0,17,train
grid_371840_9464960,0,17,train
grid_373120_9445760,0,13,test
grid_373120_9447040,0,13,train
grid_373120_9448320,0,11,train
grid_373120_9449600,0,7,train
grid_373120_9450880,0,11,train
grid_373120_9452160,0,11,train
grid_373120_9462400,0,17,train
grid_373120_9463680,0,13,train
grid_374400_9444480,0,19,val
grid_374400_9445760,0,16,val
grid_374400_9447040,0,17,train
grid_374400_9448320,0,15,train
grid_374400_9449600,0,13,test
grid_374400_9450880,0,9,train
grid_375680_9441920,0,15,train
grid_375680_9443200,0,20,val
grid_375680_9444480,0,20,test
grid_375680_9445760,0,17,val
grid_375680_9447040,0,19,test
grid_375680_9448320,0,16,train
grid_375680_9449600,0,17,val
grid_375680_9450880,0,12,train
grid_376960_9440640,0,20,train
grid_376960_9441920,0,23,val
grid_376960_9443200,0,20,train
